name,formatted_address,business_status,url,vicinity,category_1,category_2,latitude,longitude
Machinery Row Bicycles,"601 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=8827544890994036409,"601 Williamson Street, Madison",gift&store,store,,
Reynolds Transfer & Storage,"725 E Mifflin St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=3384319574807799209,"725 East Mifflin Street, Madison",gift&store,store,,
Spruce Tree Music & Repair,"851 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=15966912071889578852,"851 East Johnson Street, Madison",gift&store,store,,
Star Liquor,"1209 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=12239220041247878583,"1209 Williamson Street, Madison",gift&store,store,,
Ace Hardware Center,"1398 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=17531396410173988268,"1398 Williamson Street, Madison",gift&store,store,,
Fat Pinky Glass,"951 Williamson St #3549, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=15185190023451425156,"951 Williamson Street #3549, Madison",gift&store,store,,
WILLY Tech Shop,"804 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=11282928438393324832,"804 Williamson Street, Madison",gift&store,store,,
Picks and Stones,"217 N Paterson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=16092089815693665083,"217 North Paterson Street, Madison",gift&store,store,,
BottleWise,"211 S Paterson St #356, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=4064542593402827552,"211 South Paterson Street #356, Madison",gift&store,store,,
Frank Productions Inc.,"29 S Livingston St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=9370275839806205142,"29 South Livingston Street, Madison",gift&store,store,,
Black Moon Tattoo,"819 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=12045417750701292880,"819 East Johnson Street, Madison",gift&store,store,,
Kevin Earley Furniture Design,"1231 E Wilson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=11126014290998119610,"1231 East Wilson Street, Madison",gift&store,store,,
Vive Home Transformations,"701 E Washington Ave #103, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=10065015541281429167,"701 East Washington Avenue #103, Madison",gift&store,store,,
Community Music,"214 S Baldwin St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=2552385071854167094,"214 South Baldwin Street, Madison",gift&store,store,,
Vivent Health,"600 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=8138280651158789102,"600 Williamson Street, Madison",gift&store,store,,
Joyce Williams,"314 N Baldwin St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=9527534750375735299,"314 North Baldwin Street, Madison",gift&store,store,,
"Creative Energy Designs, Inc.","125 S Dickinson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=5756951020740328226,"125 South Dickinson Street, Madison",gift&store,store,,
Chalmers Jewelers - Custom Jewelry & Gems,"524 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13197278010481368039,"524 East Washington Avenue, Madison",gift&store,store,,
Eco Friendly Flooring,"931 E Main St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=281955983627589670,"931 East Main Street, Madison",gift&store,store,,
Red Sage Health,"1251 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=9782783942757568813,"1251 Williamson Street, Madison",gift&store,store,,
Great Whale Tattoo,"413 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13578589452413978217,"413 East Washington Avenue, Madison",gift&store,store,,
Hazel General Store,"1250 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=2061118282570259592,"1250 Williamson Street, Madison",gift&store,store,,
